# path	class	outlier_score
DS2GROCERIES\train\bread\bread.7.jpg	bread	1.565
DS2GROCERIES\train\bread\bread.344.jpg	bread	1.563
DS2GROCERIES\train\bread\bread.373.jpg	bread	1.562
DS2GROCERIES\train\bread\bread.323.jpg	bread	1.561
DS2GROCERIES\train\bread\bread.413.jpg	bread	1.560
DS2GROCERIES\train\bread\bread.345.jpg	bread	1.558
DS2GROCERIES\train\bread\bread.263.jpg	bread	1.558
DS2GROCERIES\train\bread\bread.45.jpg	bread	1.556
DS2GROCERIES\train\bread\bread.59.jpg	bread	1.555
DS2GROCERIES\train\bread\bread.151.jpg	bread	1.555
DS2GROCERIES\train\bread\bread.435.jpg	bread	1.552
DS2GROCERIES\train\bread\bread.438.jpg	bread	1.551
DS2GROCERIES\train\bread\bread.26.jpg	bread	1.551
DS2GROCERIES\train\bread\bread.446.jpg	bread	1.550
DS2GROCERIES\train\bread\bread.1086.jpg	bread	1.550
DS2GROCERIES\train\bread\bread.207.jpg	bread	1.548
DS2GROCERIES\train\bread\bread.1144.jpg	bread	1.547
DS2GROCERIES\train\bread\bread.938.jpg	bread	1.547
DS2GROCERIES\train\bread\bread.66.jpg	bread	1.547
DS2GROCERIES\train\bread\bread.490.jpg	bread	1.545
DS2GROCERIES\train\bread\bread.782.jpg	bread	1.545
DS2GROCERIES\train\bread\bread.1067.jpg	bread	1.544
DS2GROCERIES\train\bread\bread.146.jpg	bread	1.543
DS2GROCERIES\train\bread\bread.522.jpg	bread	1.543
DS2GROCERIES\train\bread\bread.856.jpg	bread	1.543
DS2GROCERIES\train\bread\bread.698.jpg	bread	1.542
DS2GROCERIES\train\bread\bread.1078.jpg	bread	1.542
DS2GROCERIES\train\broccoli\broccoli.616.jpg	broccoli	3.053
DS2GROCERIES\train\broccoli\broccoli.136.jpg	broccoli	2.941
DS2GROCERIES\train\broccoli\broccoli.207.jpg	broccoli	2.653
DS2GROCERIES\train\broccoli\broccoli.1164.jpg	broccoli	2.500
DS2GROCERIES\train\broccoli\broccoli.80.jpg	broccoli	2.486
DS2GROCERIES\train\broccoli\broccoli.998.jpg	broccoli	2.458
DS2GROCERIES\train\broccoli\broccoli.1305.jpg	broccoli	2.418
DS2GROCERIES\train\broccoli\broccoli.1130.jpg	broccoli	2.391
DS2GROCERIES\train\broccoli\broccoli.683.jpg	broccoli	2.386
DS2GROCERIES\train\broccoli\broccoli.1065.jpg	broccoli	2.371
DS2GROCERIES\train\broccoli\broccoli.936.jpg	broccoli	2.347
DS2GROCERIES\train\broccoli\broccoli.1319.jpg	broccoli	2.318
DS2GROCERIES\train\broccoli\broccoli.44.jpg	broccoli	2.317
DS2GROCERIES\train\broccoli\broccoli.1207.jpg	broccoli	2.316
DS2GROCERIES\train\broccoli\broccoli.1162.jpg	broccoli	2.305
DS2GROCERIES\train\broccoli\broccoli.228.jpg	broccoli	2.299
DS2GROCERIES\train\broccoli\broccoli.1193.jpg	broccoli	2.297
DS2GROCERIES\train\broccoli\broccoli.1246.jpg	broccoli	2.290
DS2GROCERIES\train\broccoli\broccoli.1167.jpg	broccoli	2.287
DS2GROCERIES\train\broccoli\broccoli.57.jpg	broccoli	2.286
DS2GROCERIES\train\broccoli\broccoli.448.jpg	broccoli	2.278
DS2GROCERIES\train\broccoli\broccoli.1070.jpg	broccoli	2.268
DS2GROCERIES\train\broccoli\broccoli.691.jpg	broccoli	2.267
DS2GROCERIES\train\broccoli\broccoli.1274.jpg	broccoli	2.266
DS2GROCERIES\train\broccoli\broccoli.62.jpg	broccoli	2.260
DS2GROCERIES\train\broccoli\broccoli.1044.jpg	broccoli	2.250
DS2GROCERIES\train\broccoli\broccoli.474.jpg	broccoli	2.245
DS2GROCERIES\train\broccoli\broccoli.485.jpg	broccoli	2.228
DS2GROCERIES\train\broccoli\broccoli.847.jpg	broccoli	2.222
DS2GROCERIES\train\broccoli\broccoli.1267.jpg	broccoli	2.222
DS2GROCERIES\train\broccoli\broccoli.555.jpg	broccoli	2.214
DS2GROCERIES\train\broccoli\broccoli.188.jpg	broccoli	2.212
DS2GROCERIES\train\broccoli\broccoli.1260.jpg	broccoli	2.208
DS2GROCERIES\train\broccoli\broccoli.1221.jpg	broccoli	2.207
DS2GROCERIES\train\broccoli\broccoli.196.jpg	broccoli	2.197
DS2GROCERIES\train\broccoli\broccoli.235.jpg	broccoli	2.196
DS2GROCERIES\train\broccoli\broccoli.102.jpg	broccoli	2.195
DS2GROCERIES\train\broccoli\broccoli.816.jpg	broccoli	2.188
DS2GROCERIES\train\broccoli\broccoli.914.jpg	broccoli	2.187
DS2GROCERIES\train\broccoli\broccoli.647.jpg	broccoli	2.184
DS2GROCERIES\train\broccoli\broccoli.51.jpg	broccoli	2.169
DS2GROCERIES\train\broccoli\broccoli.60.jpg	broccoli	2.166
DS2GROCERIES\train\broccoli\broccoli.525.jpg	broccoli	2.166
DS2GROCERIES\train\broccoli\broccoli.1243.jpg	broccoli	2.163
DS2GROCERIES\train\broccoli\broccoli.870.jpg	broccoli	2.162
DS2GROCERIES\train\broccoli\broccoli.761.jpg	broccoli	2.159
DS2GROCERIES\train\broccoli\broccoli.949.jpg	broccoli	2.157
DS2GROCERIES\train\broccoli\broccoli.120.jpg	broccoli	2.150
DS2GROCERIES\train\broccoli\broccoli.988.jpg	broccoli	2.149
DS2GROCERIES\train\broccoli\broccoli.1046.jpg	broccoli	2.143
DS2GROCERIES\train\broccoli\broccoli.534.jpg	broccoli	2.139
DS2GROCERIES\train\broccoli\broccoli.1075.jpg	broccoli	2.123
DS2GROCERIES\train\broccoli\broccoli.1123.jpg	broccoli	2.121
DS2GROCERIES\train\broccoli\broccoli.1036.jpg	broccoli	2.111
DS2GROCERIES\train\broccoli\broccoli.279.jpg	broccoli	2.109
DS2GROCERIES\train\broccoli\broccoli.254.jpg	broccoli	2.106
DS2GROCERIES\train\broccoli\broccoli.1051.jpg	broccoli	2.101
DS2GROCERIES\train\broccoli\broccoli.1140.jpg	broccoli	2.101
DS2GROCERIES\train\broccoli\broccoli.1097.jpg	broccoli	2.098
DS2GROCERIES\train\broccoli\broccoli.909.jpg	broccoli	2.096
DS2GROCERIES\train\broccoli\broccoli.200.jpg	broccoli	2.095
DS2GROCERIES\train\broccoli\broccoli.1289.jpg	broccoli	2.090
DS2GROCERIES\train\butter\butter.1094.jpg	butter	1.394
DS2GROCERIES\train\butter\butter.1346.jpg	butter	1.323
DS2GROCERIES\train\butter\butter.943.jpg	butter	1.312
DS2GROCERIES\train\butter\butter.1037.jpg	butter	1.311
DS2GROCERIES\train\butter\butter.268.jpg	butter	1.304
DS2GROCERIES\train\butter\butter.993.jpg	butter	1.304
DS2GROCERIES\train\butter\butter.216.jpg	butter	1.304
DS2GROCERIES\train\butter\butter.217.jpg	butter	1.303
DS2GROCERIES\train\butter\butter.1200.jpg	butter	1.300
DS2GROCERIES\train\butter\butter.1293.jpg	butter	1.298
DS2GROCERIES\train\butter\butter.1089.jpg	butter	1.297
DS2GROCERIES\train\butter\butter.222.jpg	butter	1.295
DS2GROCERIES\train\butter\butter.240.jpg	butter	1.295
DS2GROCERIES\train\butter\butter.7.jpg	butter	1.294
DS2GROCERIES\train\butter\butter.732.jpg	butter	1.292
DS2GROCERIES\train\butter\butter.1158.jpg	butter	1.290
DS2GROCERIES\train\butter\butter.682.jpg	butter	1.289
DS2GROCERIES\train\butter\butter.1017.jpg	butter	1.283
DS2GROCERIES\train\butter\butter.1140.jpg	butter	1.282
DS2GROCERIES\train\butter\butter.355.jpg	butter	1.280
DS2GROCERIES\train\butter\butter.317.jpg	butter	1.279
DS2GROCERIES\train\butter\butter.1142.jpg	butter	1.275
DS2GROCERIES\train\butter\butter.823.jpg	butter	1.275
DS2GROCERIES\train\butter\butter.1228.jpg	butter	1.273
DS2GROCERIES\train\butter\butter.286.jpg	butter	1.271
DS2GROCERIES\train\butter\butter.1304.jpg	butter	1.270
DS2GROCERIES\train\butter\butter.468.jpg	butter	1.269
DS2GROCERIES\train\butter\butter.191.jpg	butter	1.268
DS2GROCERIES\train\butter\butter.1255.jpg	butter	1.267
DS2GROCERIES\train\butter\butter.855.jpg	butter	1.267
DS2GROCERIES\train\butter\butter.291.jpg	butter	1.267
DS2GROCERIES\train\butter\butter.587.jpg	butter	1.266
DS2GROCERIES\train\butter\butter.238.jpg	butter	1.265
DS2GROCERIES\train\butter\butter.1249.jpg	butter	1.263
DS2GROCERIES\train\butter\butter.852.jpg	butter	1.263
DS2GROCERIES\train\butter\butter.950.jpg	butter	1.262
DS2GROCERIES\train\butter\butter.275.jpg	butter	1.262
DS2GROCERIES\train\butter\butter.202.jpg	butter	1.261
DS2GROCERIES\train\butter\butter.867.jpg	butter	1.260
DS2GROCERIES\train\butter\butter.1267.jpg	butter	1.258
DS2GROCERIES\train\butter\butter.23.jpg	butter	1.257
DS2GROCERIES\train\butter\butter.717.jpg	butter	1.256
DS2GROCERIES\train\butter\butter.931.jpg	butter	1.256
DS2GROCERIES\train\butter\butter.815.jpg	butter	1.254
DS2GROCERIES\train\butter\butter.1343.jpg	butter	1.252
DS2GROCERIES\train\butter\butter.1316.jpg	butter	1.251
DS2GROCERIES\train\butter\butter.923.jpg	butter	1.251
DS2GROCERIES\train\butter\butter.506.jpg	butter	1.251
DS2GROCERIES\train\butter\butter.986.jpg	butter	1.250
DS2GROCERIES\train\butter\butter.348.jpg	butter	1.250
DS2GROCERIES\train\butter\butter.631.jpg	butter	1.250
DS2GROCERIES\train\butter\butter.703.jpg	butter	1.249
DS2GROCERIES\train\butter\butter.756.jpg	butter	1.249
DS2GROCERIES\train\butter\butter.1297.jpg	butter	1.248
DS2GROCERIES\train\butter\butter.924.jpg	butter	1.247
DS2GROCERIES\train\butter\butter.459.jpg	butter	1.247
DS2GROCERIES\train\butter\butter.1328.jpg	butter	1.246
DS2GROCERIES\train\butter\butter.254.jpg	butter	1.246
DS2GROCERIES\train\butter\butter.903.jpg	butter	1.245
DS2GROCERIES\train\butter\butter.832.jpg	butter	1.244
DS2GROCERIES\train\carrots\carrots.252.jpg	carrots	1.315
DS2GROCERIES\train\carrots\carrots.352.jpg	carrots	1.314
DS2GROCERIES\train\carrots\carrots.285.jpg	carrots	1.311
DS2GROCERIES\train\carrots\carrots.145.jpg	carrots	1.304
DS2GROCERIES\train\carrots\carrots.21.jpg	carrots	1.301
DS2GROCERIES\train\carrots\carrots.460.jpg	carrots	1.301
DS2GROCERIES\train\carrots\carrots.594.jpg	carrots	1.300
DS2GROCERIES\train\carrots\carrots.875.jpg	carrots	1.300
DS2GROCERIES\train\carrots\carrots.822.jpg	carrots	1.300
DS2GROCERIES\train\carrots\carrots.349.jpg	carrots	1.300
DS2GROCERIES\train\carrots\carrots.1518.jpg	carrots	1.298
DS2GROCERIES\train\carrots\carrots.1456.jpg	carrots	1.297
DS2GROCERIES\train\carrots\carrots.9.jpg	carrots	1.296
DS2GROCERIES\train\carrots\carrots.1662.jpg	carrots	1.294
DS2GROCERIES\train\carrots\carrots.1530.jpg	carrots	1.294
DS2GROCERIES\train\carrots\carrots.912.jpg	carrots	1.293
DS2GROCERIES\train\carrots\carrots.440.jpg	carrots	1.293
DS2GROCERIES\train\carrots\carrots.1466.jpg	carrots	1.292
DS2GROCERIES\train\carrots\carrots.1821.jpg	carrots	1.291
DS2GROCERIES\train\carrots\carrots.34.jpg	carrots	1.291
DS2GROCERIES\train\carrots\carrots.331.jpg	carrots	1.291
DS2GROCERIES\train\carrots\carrots.813.jpg	carrots	1.288
DS2GROCERIES\train\carrots\carrots.1974.jpg	carrots	1.288
DS2GROCERIES\train\carrots\carrots.414.jpg	carrots	1.286
DS2GROCERIES\train\carrots\carrots.913.jpg	carrots	1.285
DS2GROCERIES\train\carrots\carrots.881.jpg	carrots	1.284
DS2GROCERIES\train\carrots\carrots.1545.jpg	carrots	1.283
DS2GROCERIES\train\carrots\carrots.549.jpg	carrots	1.282
DS2GROCERIES\train\carrots\carrots.397.jpg	carrots	1.282
DS2GROCERIES\train\carrots\carrots.1733.jpg	carrots	1.281
DS2GROCERIES\train\carrots\carrots.1506.jpg	carrots	1.280
DS2GROCERIES\train\carrots\carrots.1448.jpg	carrots	1.280
DS2GROCERIES\train\carrots\carrots.163.jpg	carrots	1.279
DS2GROCERIES\train\carrots\carrots.213.jpg	carrots	1.279
DS2GROCERIES\train\carrots\carrots.1625.jpg	carrots	1.279
DS2GROCERIES\train\carrots\carrots.197.jpg	carrots	1.277
DS2GROCERIES\train\carrots\carrots.1658.jpg	carrots	1.276
DS2GROCERIES\train\carrots\carrots.769.jpg	carrots	1.276
DS2GROCERIES\train\carrots\carrots.836.jpg	carrots	1.275
DS2GROCERIES\train\carrots\carrots.744.jpg	carrots	1.275
DS2GROCERIES\train\carrots\carrots.491.jpg	carrots	1.274
DS2GROCERIES\train\carrots\carrots.10.jpg	carrots	1.271
DS2GROCERIES\train\carrots\carrots.695.jpg	carrots	1.271
DS2GROCERIES\train\carrots\carrots.688.jpg	carrots	1.269
DS2GROCERIES\train\carrots\carrots.526.jpg	carrots	1.266
DS2GROCERIES\train\carrots\carrots.528.jpg	carrots	1.265
DS2GROCERIES\train\carrots\carrots.52.jpg	carrots	1.263
DS2GROCERIES\train\carrots\carrots.736.jpg	carrots	1.262
DS2GROCERIES\train\carrots\carrots.335.jpg	carrots	1.262
DS2GROCERIES\train\carrots\carrots.1471.jpg	carrots	1.262
DS2GROCERIES\train\carrots\carrots.400.jpg	carrots	1.261
DS2GROCERIES\train\carrots\carrots.1453.jpg	carrots	1.258
DS2GROCERIES\train\carrots\carrots.781.jpg	carrots	1.258
DS2GROCERIES\train\carrots\carrots.611.jpg	carrots	1.257
DS2GROCERIES\train\carrots\carrots.1525.jpg	carrots	1.255
DS2GROCERIES\train\carrots\carrots.827.jpg	carrots	1.255
DS2GROCERIES\train\carrots\carrots.1464.jpg	carrots	1.254
DS2GROCERIES\train\carrots\carrots.995.jpg	carrots	1.254
DS2GROCERIES\train\carrots\carrots.1722.jpg	carrots	1.254
DS2GROCERIES\train\carrots\carrots.471.jpg	carrots	1.254
DS2GROCERIES\train\carrots\carrots.187.jpg	carrots	1.251
DS2GROCERIES\train\carrots\carrots.793.jpg	carrots	1.251
DS2GROCERIES\train\carrots\carrots.805.jpg	carrots	1.251
DS2GROCERIES\train\carrots\carrots.1727.jpg	carrots	1.250
DS2GROCERIES\train\carrots\carrots.390.jpg	carrots	1.250
DS2GROCERIES\train\carrots\carrots.44.jpg	carrots	1.249
DS2GROCERIES\train\carrots\carrots.100.jpg	carrots	1.249
DS2GROCERIES\train\carrots\carrots.327.jpg	carrots	1.248
DS2GROCERIES\train\carrots\carrots.2004.jpg	carrots	1.247
DS2GROCERIES\train\carrots\carrots.481.jpg	carrots	1.247
DS2GROCERIES\train\carrots\carrots.818.jpg	carrots	1.246
DS2GROCERIES\train\carrots\carrots.317.jpg	carrots	1.245
DS2GROCERIES\train\carrots\carrots.264.jpg	carrots	1.244
DS2GROCERIES\train\cheese\cheese.1058.jpg	cheese	1.305
DS2GROCERIES\train\cheese\cheese.992.jpg	cheese	1.292
DS2GROCERIES\train\cheese\cheese.24.jpg	cheese	1.289
DS2GROCERIES\train\cheese\cheese.682.jpg	cheese	1.289
DS2GROCERIES\train\cheese\cheese.1207.jpg	cheese	1.284
DS2GROCERIES\train\cheese\cheese.1097.jpg	cheese	1.279
DS2GROCERIES\train\cheese\cheese.162.jpg	cheese	1.278
DS2GROCERIES\train\cheese\cheese.694.jpg	cheese	1.277
DS2GROCERIES\train\cheese\cheese.1144.jpg	cheese	1.276
DS2GROCERIES\train\cheese\cheese.799.jpg	cheese	1.275
DS2GROCERIES\train\cheese\cheese.197.jpg	cheese	1.272
DS2GROCERIES\train\cheese\cheese.209.jpg	cheese	1.271
DS2GROCERIES\train\cheese\cheese.477.jpg	cheese	1.271
DS2GROCERIES\train\cheese\cheese.524.jpg	cheese	1.271
DS2GROCERIES\train\cheese\cheese.1197.jpg	cheese	1.271
DS2GROCERIES\train\cheese\cheese.707.jpg	cheese	1.271
DS2GROCERIES\train\cheese\cheese.944.jpg	cheese	1.268
DS2GROCERIES\train\cheese\cheese.723.jpg	cheese	1.268
DS2GROCERIES\train\cheese\cheese.1036.jpg	cheese	1.267
DS2GROCERIES\train\cheese\cheese.265.jpg	cheese	1.267
DS2GROCERIES\train\cheese\cheese.313.jpg	cheese	1.266
DS2GROCERIES\train\cheese\cheese.731.jpg	cheese	1.266
DS2GROCERIES\train\cheese\cheese.978.jpg	cheese	1.266
DS2GROCERIES\train\cheese\cheese.376.jpg	cheese	1.265
DS2GROCERIES\train\cheese\cheese.1016.jpg	cheese	1.265
DS2GROCERIES\train\cheese\cheese.328.jpg	cheese	1.265
DS2GROCERIES\train\cheese\cheese.798.jpg	cheese	1.264
DS2GROCERIES\train\cheese\cheese.357.jpg	cheese	1.264
DS2GROCERIES\train\cheese\cheese.687.jpg	cheese	1.259
DS2GROCERIES\train\cheese\cheese.246.jpg	cheese	1.259
DS2GROCERIES\train\cheese\cheese.635.jpg	cheese	1.259
DS2GROCERIES\train\cheese\cheese.1081.jpg	cheese	1.257
DS2GROCERIES\train\cheese\cheese.685.jpg	cheese	1.257
DS2GROCERIES\train\cheese\cheese.180.jpg	cheese	1.256
DS2GROCERIES\train\cheese\cheese.417.jpg	cheese	1.256
DS2GROCERIES\train\cheese\cheese.1126.jpg	cheese	1.254
DS2GROCERIES\train\cheese\cheese.1115.jpg	cheese	1.253
DS2GROCERIES\train\cheese\cheese.122.jpg	cheese	1.253
DS2GROCERIES\train\cheese\cheese.285.jpg	cheese	1.252
DS2GROCERIES\train\cheese\cheese.1228.jpg	cheese	1.251
DS2GROCERIES\train\cheese\cheese.1246.jpg	cheese	1.251
DS2GROCERIES\train\cheese\cheese.93.jpg	cheese	1.251
DS2GROCERIES\train\cheese\cheese.737.jpg	cheese	1.249
DS2GROCERIES\train\cheese\cheese.508.jpg	cheese	1.249
DS2GROCERIES\train\cheese\cheese.10.jpg	cheese	1.247
DS2GROCERIES\train\cheese\cheese.375.jpg	cheese	1.246
DS2GROCERIES\train\cheese\cheese.820.jpg	cheese	1.245
DS2GROCERIES\train\cheese\cheese.916.jpg	cheese	1.245
DS2GROCERIES\train\cheese\cheese.776.jpg	cheese	1.243
DS2GROCERIES\train\cheese\cheese.817.jpg	cheese	1.243
DS2GROCERIES\train\cheese\cheese.938.jpg	cheese	1.243
DS2GROCERIES\train\cheese\cheese.73.jpg	cheese	1.243
DS2GROCERIES\train\cheese\cheese.541.jpg	cheese	1.242
